,mass,count,isolated
365,479.374195258258,256,False
366,451.342862761765,255,False
367,511.291247539131,255,False
368,565.447339034682,255,False
369,365.196969057508,255,False
370,539.35892840176,255,False
371,603.449344290735,255,True
372,385.223159310651,255,False
373,459.347930615615,255,False
374,561.379659769939,254,False
375,395.207476990654,254,False
376,513.285744384375,254,False
377,545.275599667785,254,False
378,473.321805175548,254,True
379,623.452838561959,254,False
380,639.463033622222,254,False
381,391.176218510417,254,False
382,577.483760300282,254,False
383,349.165657010309,253,False
384,549.270537525084,253,False
385,459.384365712676,253,False
386,533.424458398058,253,False
387,535.364039454546,253,False
388,589.450743618076,253,False
389,343.212639893372,253,False
390,477.285733112853,253,False
391,611.468092255813,253,False
392,359.207491607955,253,False
393,415.30648351312,253,False
394,533.239217510417,252,False
395,591.353867948553,252,False
396,509.239225651466,252,False
397,453.249391851515,252,False
398,531.259919152543,252,False
399,569.478641581197,252,False
400,379.176240053872,251,False
401,499.327638455331,251,False
402,395.171144875,251,False
403,487.379233649275,251,False
404,419.171122799283,251,False
405,407.171095939068,251,False
406,797.482092713793,250,False
407,647.4164690066,250,False
408,587.358945891025,250,False
409,497.448591143284,250,False
410,611.408354132653,250,False
411,583.457915020527,250,False
412,497.312006681286,250,False
413,493.426199798816,250,False
414,625.468490186589,250,False
415,473.218095680413,250,False
416,417.228225182119,250,False
417,487.233738813793,250,False
418,513.306902917889,250,False
419,631.421512663366,249,False
420,573.343252447712,249,False
421,693.471171297659,249,False
422,393.228258706667,249,False
423,395.316682095101,249,False
424,451.306508024243,249,False
425,309.207141287462,249,False
426,417.300982415151,249,False
427,437.218058910959,249,False
428,477.212993496428,249,True
429,431.207514954386,249,False
430,507.223568287719,248,False
431,565.301842237342,248,False
432,497.275624030581,248,False
433,443.28026054232,248,False
434,475.160982478125,248,False
435,413.36361152819,248,False
436,353.16058771987,248,False
437,563.322571587662,248,False
438,641.442306996815,248,False
439,773.533786641892,248,True
440,465.213049755932,248,False
441,381.333874577161,248,False
442,385.359741110749,248,False
443,575.322572264407,248,False
444,667.406308509146,248,False
445,585.379656939873,247,False
446,443.243897191919,247,False
447,363.181324402098,247,False
448,323.186376596969,247,False
449,481.420615769911,247,True
450,493.3664335625,247,False
451,483.432945217126,247,True
452,459.166087306452,247,True
453,481.317083540298,247,False
454,549.343218774604,246,False
455,753.528560830721,246,False
456,657.437238009709,246,False
457,461.181699990033,246,False
458,439.197342430977,246,False
459,351.144944547445,245,False
460,441.358508070552,245,False
461,403.212571946237,245,False
462,465.43128358631,245,False
463,285.12611697076,245,True
464,745.502490952702,245,False
465,781.487193494737,245,True
466,557.384762547469,245,False
467,601.374610300341,245,False
468,627.426628148868,244,False
469,567.462989511765,244,False
470,561.306916982994,244,False
471,653.427058706061,244,False
472,631.385135818182,244,False
473,559.327649590604,244,False
474,543.33273021865,244,False
475,659.416453897959,244,False
476,473.254449385665,244,False
477,571.364029128618,244,False
478,433.18676341573,244,False
479,645.437129146179,244,False
480,539.322561542682,244,False
481,615.462902638095,244,False
482,457.259594622517,243,False
483,415.321733774775,243,False
484,733.502440089655,243,False
485,399.202389589172,243,False
486,599.468092347305,243,False
487,721.502403660959,243,False
488,574.451122439253,243,False
489,603.353863833333,242,False
490,377.233314707641,242,False
491,589.338226044673,242,False
492,529.389778395499,242,False
493,767.53144279661,241,False
494,529.426202313664,241,False
495,451.197381783393,241,False
496,553.447349956522,241,False
497,449.290822663492,241,False
498,661.468420359478,241,False
499,575.463461458462,241,True
500,467.316688666667,241,False
501,519.223568903703,241,False
502,563.286182906249,241,False
503,389.160545524528,241,False
504,513.431315656535,241,True
505,475.197363096086,240,False
506,671.452802681063,240,False
507,397.328478726073,240,True
508,567.317506329153,240,False
509,535.254844105263,240,False
510,631.457808734219,240,False
511,437.254458135135,240,False
512,351.217698071186,240,False
513,427.19733789,239,False
514,581.434147613862,239,False
515,515.228665266667,239,False
516,643.421540623332,239,False
517,459.202419884211,239,False
518,537.416033780564,239,False
519,553.374587866873,239,False
520,449.181712957692,238,False
521,423.42073781571,238,False
522,655.421529790698,238,False
523,419.280271298137,238,False
524,413.181690020548,238,False
525,299.259156519403,238,False
526,475.364004280405,237,False
527,674.503449377551,237,False
528,629.478624133117,237,False
529,647.380097847458,237,False
530,505.207937928839,237,False
531,499.233739992701,237,False
532,605.36951055477,237,False
533,561.270561301818,237,False
534,645.400839,237,False
535,425.181708140794,236,False
536,493.207924429119,236,False
537,497.290910585761,236,False
538,429.191874922559,236,False
539,483.259968092949,236,False
540,545.312042576923,236,False
541,469.259590202749,236,False
542,553.483740519519,236,False
543,539.286170781351,235,False
544,454.340748253777,235,True
545,513.249384646209,235,False
546,393.155504923371,235,False
547,577.338252776632,235,False
548,563.358959364238,235,False
549,495.223581835125,235,False
550,441.337398498471,235,False
551,481.207939159851,235,False
552,501.343278873494,235,False
553,599.4316688,235,False
554,747.518091099644,235,False
555,589.447151456869,234,False
556,527.337798983923,234,False
557,311.802350953571,234,True
558,423.311566903847,234,False
559,632.456463229452,234,False
560,529.30182084127,234,False
561,625.447366518645,234,False
562,631.461383384059,233,False
563,377.196907607143,233,False
564,381.155511655431,233,False
565,423.384396776025,233,False
566,615.426597236666,233,False
567,565.338215924092,233,False
568,529.244307245353,233,False
569,527.395309074434,233,False
570,479.320039713836,233,False
571,629.405887882354,233,False
572,517.374560524917,232,False
573,547.403767077181,232,False
574,455.228653016722,232,False
575,539.395349750798,232,False
576,644.456465826242,232,False
577,267.072141563218,232,True
578,451.270156877483,232,False
579,639.447757746914,232,False
580,421.186747787072,232,False
581,455.348056593939,232,True
582,475.337368787671,232,True
583,489.21300026894,231,False
584,609.452478540268,231,False
585,431.243860017606,231,False
586,547.254880900383,231,False
587,365.342482885196,231,False
588,569.384729346666,231,False
589,355.088192776515,231,True
590,457.353445067279,231,False
591,555.426617507787,231,False
592,423.238796764505,231,False
593,601.44723879868,230,False
594,497.239253896667,230,False
595,685.468503185714,230,False
596,457.186813616601,230,True
597,705.471149501805,230,False
598,349.202076550725,230,False
599,635.380077978798,230,False
600,431.353036369637,230,False
601,659.452853785714,229,False
602,405.155457273437,229,False
603,653.442320527211,229,True
604,601.450774753378,229,False
605,553.30182491,229,False
606,371.207479237942,229,False
607,513.322182788961,229,False
608,585.343284822064,228,False
609,521.384695289037,228,False
610,513.358530592477,228,False
611,473.290684615385,228,False
612,469.20794081362,228,False
613,479.192281075397,228,False
614,501.213011715953,228,False
615,375.181318644269,228,False
616,577.301878849624,227,False
617,811.497728909091,227,True
618,483.296341221865,227,False
619,565.374602800676,226,False
620,553.410969912337,226,False
621,581.442324501588,226,False
622,620.48398644186,226,False
623,503.331641301887,226,True
624,469.405093203704,226,True
625,529.33821299371,226,False
626,397.223146512281,225,False
627,384.352814162455,225,True
628,657.400765617329,225,False
629,583.400381161403,225,False
630,669.473598301418,225,False
631,415.233721986532,225,False
632,569.333172410596,225,True
633,527.265057206766,225,False
634,423.166073793651,225,False
635,429.213014359155,225,False
636,485.239236640678,225,False
637,593.369510231834,225,False
638,673.432140529197,225,False
639,311.166264025974,225,False
640,311.168660103333,225,False
641,325.181640518771,225,True
642,417.15548462249,224,False
643,557.348380510563,224,False
644,339.14491843985,224,False
645,355.248964108197,224,False
646,439.233732766323,224,False
647,641.405785010831,224,False
648,280.264605738411,224,True
649,465.176627872428,224,False
650,617.369498984733,224,False
651,555.353856918301,224,False
652,341.306086279743,224,False
653,587.32260669434,224,False
654,477.176634219008,223,False
655,633.364445800766,223,False
656,551.358917541096,223,False
657,321.170698457447,223,False
658,425.399990234323,223,False
659,467.1922878125,223,False
660,421.150380053061,222,False
661,655.494285785714,222,False
662,435.166024555102,222,False
663,527.431676366102,222,False
664,661.432030805147,222,False
665,403.103410044535,222,False
666,647.452737782288,221,False
667,567.390256637584,221,False
668,629.369519332062,221,False
669,551.249821705882,221,False
670,435.311567045162,221,False
671,471.259978016502,221,False
672,585.452440214285,220,False
673,541.374594466443,220,False
674,672.487741730337,220,False
675,471.223604619718,220,False
676,537.379683746528,220,False
677,591.430003923077,220,False
678,531.22353566129,220,False
679,527.286141530406,220,False
680,367.354855386441,220,True
681,797.518472460967,219,False
682,467.301433057239,219,False
683,457.317026285714,219,False
684,443.207536389344,219,False
685,673.468260938628,219,False
686,643.515287973585,219,True
687,611.489208632588,219,False
688,571.327649864662,219,False
689,559.291293518939,219,False
690,543.259973984314,218,False
691,545.239233547718,218,False
692,769.526061563636,218,False
693,323.149948444,218,False
694,541.338213131757,218,False
695,521.20285434728,218,False
696,579.317489402931,218,False
697,411.238792635088,218,False
698,483.223563073801,218,False
699,443.171130521429,217,True
700,427.233711487889,217,False
701,573.306896402391,217,False
702,313.164409360825,217,False
703,671.416521110687,217,False
704,325.129255898374,217,False
705,523.218511730612,217,False
706,579.426636618556,216,False
707,583.364034084616,216,False
708,519.408824444853,216,False
709,613.410957569343,216,False
710,469.280681533557,216,False
711,405.228186689655,216,False
712,487.197367029289,216,False
713,565.265476036,215,False
714,599.358960425287,215,False
715,379.248964108696,215,False
716,411.380243103943,215,True
717,447.384319604982,215,False
718,671.489230364312,215,False
719,309.279876232323,215,False
720,555.40548766312,215,False
721,563.249812101266,214,False
722,611.431726642857,214,False
723,546.465799050179,214,False
724,477.394927949091,214,False
725,425.290854204082,214,False
726,509.288484837945,214,True
727,471.296375855705,214,False
728,355.139838902834,213,False
729,595.494278172638,213,False
730,647.475526484848,213,False
731,577.478014188153,213,True
732,567.281126116105,213,False
733,521.421122513888,213,False
734,429.337382036789,213,False
735,417.264626351064,213,False
736,387.181283572034,213,False
737,379.082623207469,212,True
738,485.218103352697,212,False
739,645.364472729083,212,False
740,385.186787902174,212,False
741,573.452311267361,212,False
742,579.281100154151,212,False
743,599.395280962547,212,False
744,473.36356590845,212,False
745,467.098405251029,212,True
746,571.436776056338,212,False
747,455.301431849498,212,False
748,601.338263100402,212,False
749,383.040814130252,211,True
750,317.066643783333,211,True
751,443.301399027211,211,False
752,559.254892355649,211,False
753,441.212896127737,211,False
754,383.077205259574,210,False
755,383.17116321374,210,False
756,473.181709,210,False
757,503.423631044534,210,True
758,503.192272426087,210,False
759,399.072138855895,210,False
760,595.436833790262,210,False
761,483.272800930612,210,False
762,581.33313199631,210,False
763,343.082345368644,210,True
764,579.353886551471,210,False
765,477.304358353414,210,False
766,481.077644181818,209,False
767,389.290806809524,209,False
768,545.348456030533,209,False
769,373.056482012875,209,False
770,496.439256926574,209,False
771,649.468459714286,209,False
772,539.249806126984,209,False
773,537.234137991341,209,False
774,482.423934507092,209,True
775,643.385160458498,209,False
776,463.160966544248,208,False
777,441.082720831858,208,False
778,591.317515658438,208,False
779,475.346342382759,208,False
780,675.447759727626,208,False
781,467.228720065385,208,False
782,497.254496363265,208,False
783,447.166050099099,207,False
784,465.082720017699,207,True
785,471.342599989899,207,True
786,455.265024073171,207,False
787,595.4732025,207,True
788,377.124150394737,207,False
789,661.395781219512,207,False
790,483.275185790262,207,False
791,673.395766897119,207,False
792,669.437218977778,207,False
793,329.233365939068,206,False
794,467.265122173585,206,False
795,413.290839417808,206,False
796,389.124125857759,206,False
797,531.362224763888,206,True
798,433.150389208889,206,False
799,407.243870877953,206,False
800,663.375041948617,206,False
801,517.141033547414,206,False
802,409.150357928571,206,False
803,639.426729179687,205,False
804,645.473575027344,205,False
805,439.306516234483,205,False
806,535.400366650909,205,False
807,631.348807104603,205,False
808,653.463411362008,205,False
809,605.464978892989,205,False
810,523.319590497925,205,False
811,575.286197872341,205,False
