,Group,Transformation,Formula,mass_delta,extra,chain_len,chain_len_sd,chain_prob,chain_prob_sd
93,Other,Phytochelatin,C10H16N3O6S-,306.075984,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'C': 10, 'H': 16, 'N': 3, 'O': 6, 'S': 1}), delta_f=defaultdict(<class 'int'>, {'C': 10, 'H': 16, 'N': 3, 'O': 6, 'S': 1}), direction=1, mass_err=-2.587550000043848e-06)]",2.0788819875776396,0.2061580713140297,0.0016771142105977874,0.002595098201221026
94,Abiotic,GSH_Conjugation_2,C10H17N3O6S,307.08381,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'C': 10, 'H': 17, 'N': 3, 'O': 6, 'S': 1}), delta_f=defaultdict(<class 'int'>, {'C': 10, 'H': 17, 'N': 3, 'O': 6, 'S': 1}), direction=1, mass_err=-3.5556500392885937e-06)]",2.0104166666666665,0.10206207261596575,0.00017344474297564008,0.00035304146952138315
95,Amino Acid,Adenosine_5_monophosphate_(-H2O),C10H12N5O6P,329.0525217,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 10, 'H': 14, 'N': 5, 'O': 7, 'P': 1}), delta_f=defaultdict(<class 'int'>, {'C': 10, 'H': 12, 'N': 5, 'O': 6, 'P': 1}), direction=1, mass_err=-1.5824500110284134e-06)]",2.0163934426229506,0.12803687993289598,9.432427916247852e-05,0.00021033260427792886
96,Sugar,Disaccharide_(-H2O),C12H20O11,340.1005618,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 12, 'H': 22, 'O': 12}), delta_f=defaultdict(<class 'int'>, {'C': 12, 'H': 20, 'O': 11}), direction=1, mass_err=-3.496999738672457e-07)]",2.121892975695792,0.21329513823740087,0.002093169688140383,0.0023204038169469406
97,Amino Acid,Guanosine_5_monophosphate_(-H2O),C10H12N5O7P,345.0474364,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 10, 'H': 14, 'N': 5, 'O': 8, 'P': 1}), delta_f=defaultdict(<class 'int'>, {'C': 10, 'H': 12, 'N': 5, 'O': 7, 'P': 1}), direction=1, mass_err=-1.6631499306640762e-06)]",2.0,0.0,2.7725879769355243e-05,0.00010941603700187721
98,Amino Acid,Deoxythymidine_5_diphosphate_(-H2O),C10H14N2O10P2,384.0123717,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 10, 'H': 16, 'N': 2, 'O': 11, 'P': 2}), delta_f=defaultdict(<class 'int'>, {'C': 10, 'H': 14, 'N': 2, 'O': 10, 'P': 2}), direction=1, mass_err=-3.056500077036617e-06)]",2.0116847826086954,0.06777985200127586,0.0002092088575021068,0.0004642170193038744
99,Amino Acid,Cytidine_5_diphosphate_(-H2O),C9H13N3O10P2,385.0076207,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 9, 'H': 15, 'N': 3, 'O': 11, 'P': 2}), delta_f=defaultdict(<class 'int'>, {'C': 9, 'H': 13, 'N': 3, 'O': 10, 'P': 2}), direction=1, mass_err=-3.0841500233691477e-06)]",2.0714285714285716,0.26226526415648105,4.085090999122969e-05,0.0001414263101403139
100,Amino Acid,Uridine_5_diphosphate_(-H2O),C9H12N2O11P2,385.9916363,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 9, 'H': 14, 'N': 2, 'O': 12, 'P': 2}), delta_f=defaultdict(<class 'int'>, {'C': 9, 'H': 12, 'N': 2, 'O': 11, 'P': 2}), direction=1, mass_err=-3.1009999474918004e-06)]",2.191311612364244,0.42488602011543475,0.00025505371779796423,0.0003898530549721164
101,Amino Acid,Adenosine_5_diphosphate_(-H2O),C10H13N5O9P2,409.0188541,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 10, 'H': 15, 'N': 5, 'O': 10, 'P': 2}), delta_f=defaultdict(<class 'int'>, {'C': 10, 'H': 13, 'N': 5, 'O': 9, 'P': 2}), direction=1, mass_err=-3.094949988735607e-06)]",2.03125,0.1767766952966369,4.2154683109530364e-05,0.0001287976704399541
102,Amino Acid,Guanosine_5_diphosphate_(-H2O),C10H13N5O10P2,425.0137687,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 10, 'H': 15, 'N': 5, 'O': 11, 'P': 2}), delta_f=defaultdict(<class 'int'>, {'C': 10, 'H': 13, 'N': 5, 'O': 10, 'P': 2}), direction=1, mass_err=-3.0756500564166345e-06)]",2.057142857142857,0.23550410797680274,5.194739735925635e-05,0.00016186984293751534
103,Amino Acid,Adenosine-5_-phosphosulfate,C10H14N5O10PS,427.019905,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'C': 10, 'H': 14, 'N': 5, 'O': 10, 'P': 1, 'S': 1}), delta_f=defaultdict(<class 'int'>, {'C': 10, 'H': 14, 'N': 5, 'O': 10, 'P': 1, 'S': 1}), direction=1, mass_err=-5.167949950646289e-06)]",2.015625,0.125,0.00010601715112890189,0.00023772701774057406
104,Other,Indolylmethyl_glucosinolate,C16H20N2O9S2,448.061027,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'C': 16, 'H': 20, 'N': 2, 'O': 9, 'S': 2}), delta_f=defaultdict(<class 'int'>, {'C': 16, 'H': 20, 'N': 2, 'O': 9, 'S': 2}), direction=1, mass_err=-4.432800039921858e-06)]",2.0425531914893615,0.20402970888857874,7.646757384327104e-05,0.00021258251486631636
105,Sugar,Trisaccharide_(-H2O),C18H30O15,486.1584707,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 18, 'H': 32, 'O': 16}), delta_f=defaultdict(<class 'int'>, {'C': 18, 'H': 30, 'O': 15}), direction=1, mass_err=-4.535000357464014e-07)]",2.304130949695466,0.469320229870784,0.0006834535111080001,0.001341012298709878
106,Other,Co-enzyme_A_(-H2O),C21H33N7O15P3S,748.0968259,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 21, 'H': 35, 'N': 7, 'O': 16, 'P': 3, 'S': 1}), delta_f=defaultdict(<class 'int'>, {'C': 21, 'H': 33, 'N': 7, 'O': 15, 'P': 3, 'S': 1}), direction=1, mass_err=-5.361450007512758e-06)]",2.0,0.0,7.810705308014361e-06,6.359806190344942e-05
107,Other,Co-enzyme_A_(-H),C21H34N7O16P3S,765.0995656,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1}), targ=defaultdict(<class 'int'>, {'C': 21, 'H': 35, 'N': 7, 'O': 16, 'P': 3, 'S': 1}), delta_f=defaultdict(<class 'int'>, {'C': 21, 'H': 34, 'N': 7, 'O': 16, 'P': 3, 'S': 1}), direction=1, mass_err=-5.410249968917924e-06)]",2.0,0.0,7.598030867324575e-06,6.479646323420251e-05
